지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),전운량(10분위)
108,서울,2025-06-27 01:00,21.4,,1.3,360,88,9
108,서울,2025-06-27 02:00,21.4,,1.7,250,88,7
108,서울,2025-06-27 03:00,21.2,,1.1,270,89,9
108,서울,2025-06-27 04:00,21.2,0,.6,360,89,9
108,서울,2025-06-27 05:00,21.2,,1.1,20,89,9
108,서울,2025-06-27 06:00,21.4,,.7,340,91,10
108,서울,2025-06-27 07:00,21.8,,1.4,250,89,10
108,서울,2025-06-27 08:00,22.3,,.9,270,88,10
108,서울,2025-06-27 09:00,22.7,0,.6,270,86,10
108,서울,2025-06-27 10:00,23.1,0,1,270,84,10
108,서울,2025-06-27 11:00,23.4,0,1.5,340,83,10
108,서울,2025-06-27 12:00,24.4,0,.6,20,79,10
108,서울,2025-06-27 13:00,25.4,,2.2,50,76,10
108,서울,2025-06-27 14:00,26.5,0,2.7,50,74,8
108,서울,2025-06-27 15:00,28,,1.9,90,67,8
108,서울,2025-06-27 16:00,29.1,,1.5,110,65,5
108,서울,2025-06-27 17:00,29,,.9,110,63,7
108,서울,2025-06-27 18:00,29.1,,1.8,110,64,7
108,서울,2025-06-27 19:00,28.5,,1.9,140,64,6
108,서울,2025-06-27 20:00,27.8,,1.7,140,68,6
108,서울,2025-06-27 21:00,27.3,,.7,360,71,6
108,서울,2025-06-27 22:00,26.5,,1.2,50,75,8
108,서울,2025-06-27 23:00,26.1,,1.6,50,77,10
108,서울,2025-06-28 00:00,25.7,,1.4,360,78,9
133,대전,2025-06-27 01:00,21.7,,2.8,200,84,7
133,대전,2025-06-27 02:00,21.2,,1.6,200,87,8
133,대전,2025-06-27 03:00,20.9,,.4,0,90,7
133,대전,2025-06-27 04:00,21,,.8,250,90,6
133,대전,2025-06-27 05:00,20.7,,.1,0,92,6
133,대전,2025-06-27 06:00,20.9,,1,340,90,10
133,대전,2025-06-27 07:00,21.8,,0,0,89,10
133,대전,2025-06-27 08:00,22.6,,1.6,200,84,10
133,대전,2025-06-27 09:00,23.7,,1.4,200,78,10
133,대전,2025-06-27 10:00,24.2,,1.4,200,75,10
133,대전,2025-06-27 11:00,25.2,,.7,180,69,10
133,대전,2025-06-27 12:00,26.7,,1,360,63,8
133,대전,2025-06-27 13:00,27.5,,1.2,200,62,8
133,대전,2025-06-27 14:00,29,,1.4,200,64,8
133,대전,2025-06-27 15:00,29.1,,1.4,140,57,7
133,대전,2025-06-27 16:00,30.2,,1.2,320,56,4
133,대전,2025-06-27 17:00,30.5,,.5,250,54,3
133,대전,2025-06-27 18:00,30.4,,.4,0,59,0
133,대전,2025-06-27 19:00,28.5,,1.7,50,66,3
133,대전,2025-06-27 20:00,27.1,,.7,360,72,3
133,대전,2025-06-27 21:00,26,,1.8,340,80,0
133,대전,2025-06-27 22:00,25.5,,1,340,82,7
133,대전,2025-06-27 23:00,25,,1,320,86,4
133,대전,2025-06-28 00:00,24.7,,.5,340,87,8
143,대구,2025-06-27 01:00,22.6,,.8,340,80,5
143,대구,2025-06-27 02:00,21.9,,.2,0,84,0
143,대구,2025-06-27 03:00,21.7,,.7,360,85,7
143,대구,2025-06-27 04:00,21.3,,.4,0,86,0
143,대구,2025-06-27 05:00,20.7,,.2,0,88,5
143,대구,2025-06-27 06:00,20.9,,.1,0,90,7
143,대구,2025-06-27 07:00,23,,.3,0,81,5
143,대구,2025-06-27 08:00,24.7,,.7,320,71,6
143,대구,2025-06-27 09:00,26.4,,1.7,290,62,6
143,대구,2025-06-27 10:00,27.4,,1.4,290,59,6
143,대구,2025-06-27 11:00,28.4,,1.7,290,56,6
143,대구,2025-06-27 12:00,29.4,,2.1,270,55,4
143,대구,2025-06-27 13:00,30.5,,1.9,270,51,7
143,대구,2025-06-27 14:00,31.4,,1.9,270,47,3
143,대구,2025-06-27 15:00,31.8,,1.7,290,46,2
143,대구,2025-06-27 16:00,32.3,,1,360,45,0
143,대구,2025-06-27 17:00,32.9,,1.4,290,44,4
143,대구,2025-06-27 18:00,32.4,,1.2,290,46,4
143,대구,2025-06-27 19:00,31.5,,1.7,320,50,3
143,대구,2025-06-27 20:00,30,,1.6,50,57,3
143,대구,2025-06-27 21:00,28.6,,.8,320,63,3
143,대구,2025-06-27 22:00,27.4,,.4,0,70,0
143,대구,2025-06-27 23:00,26.5,,1.7,110,73,0
143,대구,2025-06-28 00:00,25.9,,0,0,76,0
159,부산,2025-06-27 01:00,22.6,,1.2,290,79,0
159,부산,2025-06-27 02:00,23.3,,2.5,320,76,8
159,부산,2025-06-27 03:00,22.4,,.2,0,82,0
159,부산,2025-06-27 04:00,21.7,,.1,0,86,8
159,부산,2025-06-27 05:00,22.4,,.5,290,84,7
159,부산,2025-06-27 06:00,21.5,,0,0,88,7
159,부산,2025-06-27 07:00,21.4,,0,0,89,1
159,부산,2025-06-27 08:00,24.4,,3.7,250,77,1
159,부산,2025-06-27 09:00,26.2,,3,230,69,3
159,부산,2025-06-27 10:00,25.8,,2.1,200,73,6
159,부산,2025-06-27 11:00,26.5,,2.1,200,67,8
159,부산,2025-06-27 12:00,26.7,,4.8,180,68,8
159,부산,2025-06-27 13:00,27.5,,4.6,180,64,7
159,부산,2025-06-27 14:00,27.2,,4.7,180,63,8
159,부산,2025-06-27 15:00,26.4,,5.3,180,62,4
159,부산,2025-06-27 16:00,26.6,,3.7,200,63,4
159,부산,2025-06-27 17:00,25.7,,2.7,200,66,2
159,부산,2025-06-27 18:00,24.6,,3.4,200,71,2
159,부산,2025-06-27 19:00,23.3,,3.2,200,73,3
159,부산,2025-06-27 20:00,22.5,,2.2,230,78,3
159,부산,2025-06-27 21:00,22.1,,2.2,250,78,2
159,부산,2025-06-27 22:00,22,,2.4,230,84,0
159,부산,2025-06-27 23:00,22.3,,2.5,230,83,0
159,부산,2025-06-28 00:00,23.7,,2.4,200,79,0
239,세종,2025-06-27 01:00,20.9,,.1,0,94,10
239,세종,2025-06-27 02:00,20.3,,1.4,340,95,8
239,세종,2025-06-27 03:00,20,,1,320,96,8
239,세종,2025-06-27 04:00,20.1,,.7,180,97,10
239,세종,2025-06-27 05:00,20.2,,.3,0,97,10
239,세종,2025-06-27 06:00,20.4,,.5,200,97,10
239,세종,2025-06-27 07:00,21.3,,.3,0,93,10
239,세종,2025-06-27 08:00,22.2,,.4,0,89,8
239,세종,2025-06-27 09:00,23.2,,.7,340,84,8
239,세종,2025-06-27 10:00,24,,.6,230,77,8
239,세종,2025-06-27 11:00,24.8,,.6,360,74,7
239,세종,2025-06-27 12:00,25.8,,1.1,250,72,10
239,세종,2025-06-27 13:00,26.3,,.7,110,70,9
239,세종,2025-06-27 14:00,27.6,,.9,320,68,8
239,세종,2025-06-27 15:00,28.5,,1.4,180,61,7
239,세종,2025-06-27 16:00,29,,1.2,230,61,5
239,세종,2025-06-27 17:00,29.7,,1.1,270,65,3
239,세종,2025-06-27 18:00,29.5,,.3,0,69,3
239,세종,2025-06-27 19:00,27,,.7,290,75,3
239,세종,2025-06-27 20:00,25.8,,1.4,290,80,0
239,세종,2025-06-27 21:00,24.9,,.1,0,87,0
239,세종,2025-06-27 22:00,24.4,,.2,0,91,7
239,세종,2025-06-27 23:00,24,,1,200,93,7
239,세종,2025-06-28 00:00,23.6,,0,0,93,7
296,북부산,2025-06-27 01:00,21.6,,.8,340,87,0
296,북부산,2025-06-27 02:00,21.1,,.5,20,89,6
296,북부산,2025-06-27 03:00,21.1,,.6,320,89,0
296,북부산,2025-06-27 04:00,20.6,,.4,0,90,8
296,북부산,2025-06-27 05:00,21,,.9,360,91,7
296,북부산,2025-06-27 06:00,21.2,,.2,0,91,6
296,북부산,2025-06-27 07:00,23.5,,1,180,86,1
296,북부산,2025-06-27 08:00,25.5,,1.7,180,78,3
296,북부산,2025-06-27 09:00,27.4,,2.3,290,66,4
296,북부산,2025-06-27 10:00,28.7,,2.9,250,57,6
296,북부산,2025-06-27 11:00,30.3,,2.4,290,54,7
296,북부산,2025-06-27 12:00,31.2,,.9,20,51,7
296,북부산,2025-06-27 13:00,30.6,,3.2,180,58,7
